"folio","entidad","munici","mened","IA","numpeho","edadjef","sexojef","añosedu","alsa"
11553,1,5,1,0,4,43,0,24,220
181462,18,17,1,0,4,46,0,24,869
131168,13,51,0,0,1,54,0,24,30
310599,31,50,0,0,2,39,0,24,453
290196,29,5,1,0,4,48,0,24,926
310567,31,50,0,0,4,54,0,24,200
160605,16,53,1,0,5,41,0,24,545
71502,7,101,1,0,4,60,0,24,820
150083,15,14,1,1,5,39,0,24,1235
141716,14,110,0,0,1,78,0,24,550
140667,14,39,0,0,1,45,1,24,468
131166,13,51,0,0,1,31,0,24,160
140742,14,50,0,0,2,73,0,24,315
231326,23,5,1,0,3,32,0,24,337
170741,17,7,0,0,4,54,0,24,0
130924,13,48,1,0,3,71,0,24,1850
220821,22,14,0,0,1,92,0,24,416
50846,5,27,0,0,4,54,0,24,1541
192076,19,46,1,0,4,50,0,24,280
321816,32,56,1,0,4,38,1,24,450
31246,3,3,0,0,2,34,0,24,600
191627,19,39,0,0,5,62,0,24,1427
160607,16,53,0,0,3,59,0,24,1142
271415,27,12,1,0,3,46,0,24,605
230168,23,2,1,0,2,54,1,24,1235
141991,14,120,1,0,7,63,1,24,1440
30530,3,3,1,0,3,46,0,24,607
282224,28,41,1,1,3,39,1,24,772
131167,13,51,0,1,1,35,0,24,30
220701,22,14,0,0,3,54,1,24,990
300122,30,28,0,1,2,37,0,24,750
260823,26,30,1,0,6,65,0,24,4720
151029,15,57,0,0,2,76,0,24,371
270431,27,4,1,0,2,53,1,24,1120
100206,10,5,0,0,2,53,0,24,839
211026,21,114,0,0,2,64,0,24,978
221770,22,17,1,0,6,53,0,24,2000
310573,31,50,0,1,4,50,0,24,831
131170,13,51,1,1,4,43,0,24,728
310934,31,50,1,0,4,47,1,24,1600
80588,8,19,0,0,2,63,0,22,905
170395,17,7,0,1,2,47,0,22,398
300382,30,48,0,0,2,48,0,22,499
211031,21,114,1,0,4,39,0,22,695
20244,2,1,0,0,4,62,0,22,1090
320572,32,17,0,0,1,34,1,22,220
151020,15,57,0,0,3,73,0,22,476
282083,28,41,0,0,4,60,0,22,1515
161327,16,88,0,0,2,36,0,22,410
270394,27,4,0,0,5,68,0,22,940
291312,29,33,0,0,3,59,0,22,930
181088,18,17,0,0,2,70,0,22,450
261102,26,30,1,0,3,44,1,22,1280
81851,8,37,1,0,4,36,0,22,437
241051,24,28,0,0,1,34,0,22,227
201170,20,294,1,0,4,40,0,22,494
192277,19,49,1,0,5,57,0,22,1890
41714,4,9,1,1,4,58,0,22,660
121141,12,35,1,1,4,54,0,22,568
291462,29,36,1,1,4,44,0,22,934
310952,31,50,0,0,2,32,0,22,525
320558,32,17,1,0,3,43,0,22,433
260758,26,30,0,0,2,37,1,22,635
10613,1,1,0,0,2,56,0,22,755
11640,1,5,0,1,1,28,1,22,521
51044,5,30,0,1,2,55,0,22,620
310930,31,50,1,0,5,40,0,22,318
61018,6,7,1,0,4,42,0,22,1084
291009,29,28,0,0,7,48,0,22,1290
70195,7,19,0,0,2,79,0,22,753
291331,29,33,1,1,6,43,1,22,931
61761,6,10,1,0,5,51,0,22,370
260716,26,29,0,0,3,56,0,22,1320
61327,6,9,0,0,2,56,0,22,325
142044,14,120,0,0,3,57,0,22,1015
110394,11,8,0,0,1,48,1,22,476
281892,28,38,0,1,5,56,0,22,0
130837,13,48,1,0,4,47,0,22,565
321547,32,48,1,0,6,49,0,22,1550
250006,25,1,1,1,5,51,0,22,1150
40304,4,2,1,1,5,37,0,22,1339
10221,1,1,0,1,4,29,0,22,2320
71728,7,108,1,0,5,33,0,22,682
310470,31,50,0,0,4,52,0,22,1600
40421,4,2,0,0,1,30,1,22,146
71143,7,89,0,0,4,48,0,22,1013
90071,9,2,0,0,1,30,0,22,580
111348,11,27,1,0,4,40,0,22,580
40853,4,3,1,0,5,36,0,22,1658
270611,27,4,1,1,4,35,0,22,2050
291234,29,33,1,0,6,41,0,22,725
51534,5,35,0,0,1,32,1,22,348
172019,17,31,1,0,3,46,0,22,869
120680,12,19,1,1,4,44,0,22,1260
311211,31,50,1,0,6,48,0,22,570
261788,26,55,0,1,4,55,0,22,2280
191620,19,39,1,0,5,53,0,22,1905
231254,23,5,0,1,2,52,0,22,640
11042,1,1,1,1,3,35,0,22,978
61791,6,10,1,0,3,32,0,22,515
221095,22,14,0,0,1,45,0,22,835
281997,28,39,1,0,4,53,0,22,220
101768,10,38,1,0,4,29,0,22,283
20659,2,2,1,0,5,39,0,22,900
240891,24,28,1,0,5,50,0,22,590
120836,12,28,1,1,4,53,0,22,849
250461,25,6,1,0,4,54,0,22,757
110828,11,20,1,1,4,39,1,22,1415
220239,22,6,1,0,3,46,1,22,1030
211082,21,114,0,0,2,29,1,22,290
111101,11,20,0,0,2,83,0,22,514
321737,32,56,0,1,2,55,1,22,670
321528,32,48,1,0,3,54,0,22,550
100621,10,5,0,0,1,44,1,22,126
211037,21,114,0,0,2,35,0,22,1154
181440,18,17,1,0,3,49,1,22,612
261546,26,43,1,0,4,48,0,22,1245
300140,30,28,1,0,4,38,0,22,1017
11853,1,10,0,1,2,29,0,22,495
142073,14,120,1,0,5,61,0,22,1470
201290,20,318,1,1,4,34,0,22,555
230803,23,5,0,1,2,47,0,22,1421
150607,15,33,0,0,3,56,0,22,924
30701,3,3,0,0,2,61,0,22,345
141994,14,120,0,0,4,50,0,22,968
320512,32,17,0,0,1,58,0,22,1100
130865,13,48,0,1,1,55,0,22,366
160402,16,45,0,0,2,71,0,22,1287
140446,14,39,0,0,1,32,1,22,1093
310483,31,50,0,0,1,57,0,22,1488
92328,9,17,1,0,4,41,0,22,838
131174,13,51,0,0,1,38,0,22,740
90768,9,7,0,0,6,64,0,22,1179
81120,8,32,0,0,3,58,1,22,1294
260794,26,30,1,0,3,32,0,22,421
220896,22,14,0,1,4,54,0,22,1140
160724,16,53,1,0,4,50,0,22,527
111121,11,20,1,1,3,39,0,22,470
221082,22,14,1,0,3,40,0,22,225
170813,17,7,1,0,2,38,0,22,698
221149,22,14,1,0,3,33,0,22,660
171001,17,11,0,0,2,80,0,22,630
60262,6,2,1,0,3,47,0,22,800
10351,1,1,0,0,2,54,0,22,952
10388,1,1,1,0,3,37,0,22,742
310568,31,50,0,0,4,62,0,22,1405
191638,19,39,1,0,3,33,1,22,810
230190,23,2,1,0,4,43,0,22,317
321269,32,39,1,1,5,56,0,22,720
81128,8,32,1,0,3,52,0,22,122
80141,8,9,1,0,4,36,0,22,290
151977,15,106,1,0,4,51,0,22,980
251513,25,12,1,0,5,45,0,22,560
111094,11,20,1,0,5,47,0,22,420
320946,32,35,0,0,1,34,0,22,114
130173,13,8,0,1,4,55,0,22,1750
111051,11,20,1,0,4,45,0,22,895
10405,1,1,1,0,4,36,0,22,864
80609,8,19,0,0,2,51,0,22,1075
11649,1,6,1,0,3,43,0,22,410
41728,4,9,1,1,4,36,0,22,1010
