"nse5f","area","numpeho","refin","edadjef","sexojef","añosedu","IA","ln_als","ln_alns"
5,0,4,0,43,0,24,0,5.39362754635236,NA
5,0,5,1,NA,NA,24,0,7.02464903045364,NA
5,0,4,0,46,0,24,0,6.76734312526539,4.60517018598809
5,1,1,0,54,0,24,0,3.40119738166216,4.0943445622221
5,0,2,1,39,0,24,0,6.11589212548303,5.48063892334199
5,0,5,1,NA,NA,24,0,7.51479976048867,5.59842195899838
5,0,9,0,NA,NA,24,1,7.49498623395053,4.78749174278205
5,1,4,0,48,0,24,0,6.83087423464618,4.60517018598809
5,0,4,0,54,0,24,0,5.29831736654804,NA
5,0,5,0,41,0,24,0,6.30078579466324,NA
4,0,4,0,60,0,24,0,6.7093043402583,NA
5,1,5,0,39,0,24,1,7.11882624906208,3.04452243772342
5,0,4,0,NA,NA,24,1,6.93828448401696,NA
5,0,1,0,78,0,24,0,6.30991827822652,NA
5,0,1,0,45,1,24,0,6.14846829591765,NA
4,0,1,0,NA,NA,24,0,3.13549421592915,6.47697236288968
5,1,1,0,31,0,24,0,5.07517381523383,4.80402104473326
5,0,2,0,73,0,24,0,5.75257263882563,NA
5,0,3,0,32,0,24,0,5.82008293035236,5.34710753071747
5,0,4,0,54,0,24,0,NA,NA
5,0,3,0,71,0,24,0,7.52294091807237,NA
5,0,1,0,92,0,24,0,6.03068526026126,2.30258509299405
5,0,4,0,54,0,24,0,7.34018683532012,4.86753445045558
5,0,2,0,NA,NA,24,0,6.7093043402583,5.01063529409626
5,0,4,0,50,0,24,0,5.63478960316925,5.52146091786225
5,0,4,0,38,1,24,0,6.10924758276437,5.52146091786225
5,0,2,1,34,0,24,0,6.39692965521615,NA
5,0,5,0,62,0,24,0,7.26332961747684,6.21060007702465
5,0,3,0,59,0,24,0,7.04053639021596,4.90527477843843
5,0,3,0,46,0,24,0,6.40522845803084,5.11799381241676
5,0,2,0,54,1,24,0,7.11882624906208,NA
5,0,7,0,63,1,24,0,7.27239839257005,NA
5,0,3,0,46,0,24,0,6.4085287910595,5.59842195899838
5,0,3,0,39,1,24,1,6.64898455002478,3.40119738166216
3,1,1,0,35,0,24,1,3.40119738166216,4.9416424226093
5,0,3,1,54,1,24,0,6.89770494312864,4.0943445622221
5,0,2,0,37,0,24,1,6.62007320653036,NA
5,0,6,0,65,0,24,0,8.4595640785796,5.42934562895444
4,0,2,0,76,0,24,0,5.91620206260743,NA
4,0,4,0,NA,NA,24,1,3.2188758248682,NA
3,1,3,0,NA,NA,24,0,6.46146817635372,2.99573227355399
5,0,4,0,NA,NA,24,0,6.49978704065585,3.68887945411394
5,0,2,0,53,1,24,0,7.02108396428914,5.29831736654804
5,0,2,0,53,0,24,0,6.73221070646721,5.4510384535657
4,0,8,1,NA,NA,24,1,7.27931883541462,5.19295685089021
5,0,2,0,64,0,24,0,6.88550967003482,NA
5,1,6,0,53,0,24,0,7.60090245954208,5.99146454710798
4,0,4,0,50,0,24,1,6.72262979485545,5.62040086571715
5,0,3,0,NA,NA,24,1,5.8805329864007,5.07517381523383
5,1,4,1,43,0,24,1,6.59030104819669,4.00733318523247
5,0,4,0,47,1,24,0,7.37775890822787,4.60517018598809
5,0,2,0,63,0,22,0,6.80793494369993,5.13579843705026
5,0,2,0,47,0,22,1,5.98645200528444,3.80666248977032
5,0,2,0,48,0,22,0,6.21260609575152,3.8286413964891
4,0,4,1,39,0,22,0,6.54391184556479,2.99573227355399
5,0,4,0,62,0,22,0,6.99393297522319,5.07517381523383
4,0,1,1,34,1,22,0,5.39362754635236,NA
5,0,3,0,73,0,22,0,6.16541785423142,6.95654544315157
5,0,4,0,60,0,22,0,7.32317071794347,4.31748811353631
5,0,2,0,36,0,22,0,6.01615715969835,NA
5,0,5,0,68,0,22,0,6.84587987526405,NA
5,1,3,0,59,0,22,0,6.8351845861473,4.86753445045558
5,0,2,0,70,0,22,0,6.10924758276437,NA
5,0,3,0,44,1,22,0,7.15461535691366,6.04025471127741
4,0,4,0,36,0,22,0,6.07993319509559,3.40119738166216
5,0,1,0,NA,NA,22,0,6.22059017009974,2.19722457733622
4,0,1,0,34,0,22,0,5.4249500174814,2.99573227355399
5,0,4,0,40,0,22,0,6.20253551718792,NA
5,0,4,0,NA,NA,22,0,6.48463523563525,NA
5,0,5,0,57,0,22,0,7.54433210805369,6.82437367004309
5,0,4,0,NA,NA,22,1,5.90536184805457,NA
5,0,4,0,58,0,22,1,6.49223983502047,5.82894561761021
4,1,4,0,54,0,22,1,6.34212141872115,NA
5,1,4,0,44,0,22,1,6.83947643822884,3.68887945411394
5,0,2,0,32,0,22,0,6.26339826259162,5.01063529409626
5,0,4,0,NA,NA,22,0,7.72312009226633,7.64969262371151
5,0,3,0,43,0,22,0,6.07073772800249,3.40119738166216
5,0,2,0,37,1,22,0,6.45362499889269,4.0943445622221
5,0,2,0,56,0,22,0,6.62671774924902,4.83628190695148
4,1,1,0,28,1,22,1,6.25575004175337,6.39692965521615
5,0,2,0,55,0,22,1,6.42971947803914,3.91202300542815
5,0,5,0,40,0,22,0,5.76205138278018,6.21460809842219
5,0,4,1,42,0,22,0,6.98841318199959,5.84354441703136
5,0,7,0,48,0,22,0,7.16239749735572,NA
5,0,2,0,79,0,22,0,6.62406522779989,NA
5,1,6,0,43,1,22,1,6.83625927727707,5.19295685089021
5,0,5,0,51,0,22,0,5.91350300563827,3.91202300542815
4,0,3,1,NA,NA,22,0,7.09007683577609,NA
5,0,3,0,56,0,22,0,7.18538701558042,NA
3,0,2,1,56,0,22,0,5.78382518232974,NA
5,0,3,0,57,0,22,0,6.92264389147589,6.0282785202307
5,0,1,0,48,1,22,0,6.16541785423142,3.91202300542815
5,0,5,0,56,0,22,1,NA,NA
4,0,4,0,47,0,22,0,6.33682573114644,4.86753445045558
5,0,6,0,49,0,22,0,7.34601020991329,5.59842195899838
5,0,5,0,51,0,22,1,7.0475172213573,4.86753445045558
5,0,5,1,37,0,22,1,7.19967834569117,NA
5,0,4,0,29,0,22,1,7.74932246466036,5.01063529409626
4,0,5,0,33,0,22,0,6.52502965784346,3.68887945411394
5,0,4,0,52,0,22,0,7.37775890822787,5.99146454710798
